timeStamp= 1305031453.359684; T[0]= 0.000000000; T[1]= 0.000000000; T[2]= 0.000000000; x= 0.000000000; y=  0.000000000; z=  0.000000000; w= 1.000000000
timeStamp= 1305031453.391690016; T[0]= 0.001818705; T[1]= 0.003268316; T[2]= -0.008772151; x= -0.000994816; y=  0.006060663; z=  0.010867686; w= 0.999922097
timeStamp= 1305031453.423682928; T[0]= 0.006924156; T[1]= 0.006336601; T[2]= -0.015871644; x= 0.000588611; y=  0.009832514; z=  0.020036921; w= 0.999750674
timeStamp= 1305031453.459685087; T[0]= 0.013511835; T[1]= 0.011060419; T[2]= -0.026388243; x= 0.004610690; y=  0.015269587; z=  0.029021565; w= 0.999451518
timeStamp= 1305031453.491698027; T[0]= 0.017318120; T[1]= 0.013488313; T[2]= -0.038567301; x= 0.008026754; y=  0.021380195; z=  0.038825009; w= 0.998985052
timeStamp= 1305031453.523684025; T[0]= 0.014697951; T[1]= 0.020004781; T[2]= -0.051027458; x= 0.015676580; y=  0.027956646; z=  0.047467355; w= 0.998358428
timeStamp= 1305031453.559752941; T[0]= 0.018926971; T[1]= 0.022600554; T[2]= -0.065023206; x= 0.021718221; y=  0.029176859; z=  0.053691223; w= 0.997894943
timeStamp= 1305031453.591639996; T[0]= 0.014364742; T[1]= 0.033532914; T[2]= -0.080725268; x= 0.031065293; y=  0.033794690; z=  0.057851385; w= 0.997269332
timeStamp= 1305031453.627706051; T[0]= 0.004306446; T[1]= 0.037102632; T[2]= -0.094101585; x= 0.037355214; y=  0.037421990; z=  0.061686799; w= 0.996693969
timeStamp= 1305031453.659600019; T[0]= -0.010703471; T[1]= 0.048966508; T[2]= -0.110384509; x= 0.046964046; y=  0.037723817; z=  0.059767529; w= 0.996393085
timeStamp= 1305031453.691678047; T[0]= -0.008740135; T[1]= 0.061812479; T[2]= -0.123661876; x= 0.055472098; y=  0.029792806; z=  0.055819586; w= 0.996453404
timeStamp= 1305031453.727652073; T[0]= -0.019537214; T[1]= 0.070191897; T[2]= -0.136448726; x= 0.059815228; y=  0.026186945; z=  0.050953247; w= 0.996564150
timeStamp= 1305031453.759694099; T[0]= -0.037106637; T[1]= 0.075304121; T[2]= -0.149734989; x= 0.063894197; y=  0.020819180; z=  0.042267278; w= 0.996843755
timeStamp= 1305031453.791716099; T[0]= -0.036669832; T[1]= 0.086329870; T[2]= -0.165203646; x= 0.069108836; y=  0.008523169; z=  0.034977481; w= 0.996959329
timeStamp= 1305031453.827773094; T[0]= -0.051353265; T[1]= 0.094965950; T[2]= -0.171840519; x= 0.072542779; y=  0.003687234; z=  0.028653899; w= 0.996946812
timeStamp= 1305031453.859704971; T[0]= -0.060452044; T[1]= 0.097167648; T[2]= -0.186009422; x= 0.072309189; y=  -0.009734711; z=  0.019368120; w= 0.997146666
timeStamp= 1305031453.891710043; T[0]= -0.070286721; T[1]= 0.103279233; T[2]= -0.198459521; x= 0.071318202; y=  -0.026211748; z=  0.012280575; w= 0.997033536
timeStamp= 1305031453.927722931; T[0]= -0.081455462; T[1]= 0.108048543; T[2]= -0.205799252; x= 0.068440117; y=  -0.045588382; z=  0.007669007; w= 0.996583581
timeStamp= 1305031453.959640980; T[0]= -0.084752336; T[1]= 0.113214500; T[2]= -0.213648260; x= 0.066039443; y=  -0.064050034; z=  -0.000481578; w= 0.995759070
timeStamp= 1305031453.991624117; T[0]= -0.096272469; T[1]= 0.112255700; T[2]= -0.214371800; x= 0.063480400; y=  -0.075798146; z=  -0.011309820; w= 0.995036185
timeStamp= 1305031454.027662039; T[0]= -0.108078443; T[1]= 0.114718109; T[2]= -0.217873991; x= 0.065793522; y=  -0.088101439; z=  -0.021763342; w= 0.993698001
timeStamp= 1305031454.059653997; T[0]= -0.117931060; T[1]= 0.119826958; T[2]= -0.225180224; x= 0.066777050; y=  -0.100172013; z=  -0.033303831; w= 0.992167950
timeStamp= 1305031454.091650963; T[0]= -0.134279951; T[1]= 0.119375557; T[2]= -0.225443900; x= 0.066359945; y=  -0.110270031; z=  -0.046840411; w= 0.990577042
timeStamp= 1305031454.127701044; T[0]= -0.150552407; T[1]= 0.121173851; T[2]= -0.228295133; x= 0.069652915; y=  -0.123561509; z=  -0.061908841; w= 0.987951577
timeStamp= 1305031454.159672022; T[0]= -0.162198782; T[1]= 0.128077775; T[2]= -0.233840376; x= 0.070858069; y=  -0.138204530; z=  -0.074120291; w= 0.985081136
